question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,1.0,1.0,1.0,0.0,0.0,0.0
2,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.8,1.0,0.888888888888889
5,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
6,NorthernPlainsFireManagement,0.6666666666666666,1.0,0.8,0.6,0.6,0.6
7,PacificIslandLandbirds,1.0,1.0,1.0,1.0,1.0,1.0
8,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
9,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
10,NYSED_SRC2022,0.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,1.0,1.0,1.0,0.5,0.3333333333333333,0.4
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
16,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.625,0.7692307692307693
17,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
18,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
19,KlamathInvasiveSpecies,0.5,0.5,0.5,0.25,0.5,0.3333333333333333
20,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
21,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,1.0,0.42857142857142855,0.6
22,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
23,CratersWildlifeObservations,1.0,1.0,1.0,0.0,0.0,0.0
24,CratersWildlifeObservations,0.0,0.0,0.0,0.0,0.0,0.0
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8
26,NTSB,1.0,1.0,1.0,0.75,0.5,0.6
27,SBODemoUS-Service,0.5,0.5,0.5,0.0,0.0,0.0
28,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,0.8333333333333334,0.5,0.625
29,NTSB,1.0,0.6666666666666666,0.8,1.0,0.5,0.6666666666666666
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.5,0.5,0.5
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
33,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,1.0,1.0,1.0,0.5,0.75,0.6
38,SBODemoUS-Human Resources,1.0,1.0,1.0,0.75,0.6,0.6666666666666665
39,ATBI,0.5,0.5,0.5,0.6666666666666666,0.5,0.5714285714285715
40,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
41,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
42,SBODemoUS-Sales Opportunities,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
43,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
44,NTSB,0.5,1.0,0.6666666666666666,0.5,0.5,0.5
45,NorthernPlainsFireManagement,1.0,1.0,1.0,0.75,0.75,0.75
46,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.5,0.75,0.6
47,NYSED_SRC2022,1.0,1.0,1.0,1.0,0.8,0.888888888888889
48,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
49,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
50,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8
51,NYSED_SRC2022,1.0,0.5,0.6666666666666666,0.6666666666666666,0.4,0.5
52,KlamathInvasiveSpecies,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
53,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
54,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
55,NTSB,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
56,NYSED_SRC2022,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
57,SBODemoUS-Business Partners,0.0,0.0,0.0,0.0,0.0,0.0
58,ATBI,1.0,0.6666666666666666,0.8,0.75,0.42857142857142855,0.5454545454545454
59,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
60,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,0.5,0.4,0.4444444444444445
61,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
62,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
63,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
64,NYSED_SRC2022,1.0,0.5,0.6666666666666666,0.5,0.4,0.4444444444444445
65,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
66,ASIS_20161108_HerpInv_Database,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
67,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
68,NYSED_SRC2022,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
69,ATBI,0.6666666666666666,1.0,0.8,0.4,0.6666666666666666,0.5
70,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
71,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
72,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
73,KlamathInvasiveSpecies,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
74,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
75,NYSED_SRC2022,1.0,1.0,1.0,1.0,0.6,0.7499999999999999
76,ATBI,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
77,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
78,NTSB,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
79,NYSED_SRC2022,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715
80,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
81,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
82,SBODemoUS-Human Resources,1.0,1.0,1.0,0.5,0.5,0.5
83,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
84,NYSED_SRC2022,1.0,1.0,1.0,1.0,1.0,1.0
85,SBODemoUS-Inventory and Production,1.0,0.5,0.6666666666666666,1.0,0.2,0.33333333333333337
86,KlamathInvasiveSpecies,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.625,0.6666666666666666
87,SBODemoUS-Inventory and Production,0.0,0.0,0.0,0.0,0.0,0.0
88,ATBI,1.0,1.0,1.0,1.0,1.0,1.0
89,SBODemoUS-Business Partners,0.0,0.0,0.0,0.0,0.0,0.0
90,KlamathInvasiveSpecies,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
91,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
92,ATBI,1.0,1.0,1.0,0.0,1.0,0.0
93,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
94,ATBI,0.5,0.5,0.5,0.0,0.0,0.0
95,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
96,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
97,PacificIslandLandbirds,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
98,SBODemoUS-Human Resources,1.0,0.3333333333333333,0.5,1.0,0.2857142857142857,0.4444444444444445
99,SBODemoUS-Sales Opportunities,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
100,PacificIslandLandbirds,0.5,0.75,0.6,0.35294117647058826,0.75,0.48
101,NYSED_SRC2022,1.0,1.0,1.0,0.8,0.6666666666666666,0.7272727272727272
